manufacturer,model_sku,category,count,first_seen,last_seen,examples
TS,TS-AMS16,Audio Matrix,15,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-AMS16
Control4,EA-3,Controller,14,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-3
Araknis,AN-820-AP-I,Networking,13,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-820-AP-I
Araknis,AN-620-SW-R-8-POE,Networking,9,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-620-SW-R-8-POE
Control4,EA-AMP-HYB-2D-1000,Amplifier,8,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-AMP-HYB-2D-1000
Araknis,AN-520-AP-O,Networking,7,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-520-AP-O
Araknis,AN-520-RT,Unknown,7,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-520-RT
Control4,CA-1,Controller,7,2026-02-26T07:04:53,2026-02-26T07:04:53,CA-1
Control4,EA-AMP-SUB-1D-500R,Amplifier,6,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-AMP-SUB-1D-500R
Control4,EA-DYN-16D-100,Amplifier,6,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-DYN-16D-100
TS,TS-PDX-IC85,Unknown,5,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-PDX-IC85
Araknis,AN-620-SW-R-24-POE,Networking,4,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-620-SW-R-24-POE
Araknis,AN-920-SW-F-24-POE,Networking,4,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-920-SW-F-24-POE
TS,TS-PAMP8-125-V2,Amplifier,4,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-PAMP8-125-V2
TS,TS-PDX-IC64,Unknown,4,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-PDX-IC64
Araknis,AN-110-SW-R-8,Networking,3,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-110-SW-R-8
Araknis,AN-420-SW-F-24-POE,Networking,3,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-420-SW-F-24-POE
Araknis,AN-SFP-10-D-1,Networking,3,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-SFP-10-D-1
TS,TS-AMS8-V2,Audio Matrix,3,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-AMS8-V2
Araknis,AN-320-SW-R-16-POE,Networking,2,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-320-SW-R-16-POE
Araknis,AN-320-SW-R-24-POE,Networking,2,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-320-SW-R-24-POE
Araknis,AN-320-SW-R-8,Networking,2,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-320-SW-R-8
Araknis,AN-SFP-10-D-3,Networking,2,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-SFP-10-D-3
Control4,EA-DYN-8D-100,Amplifier,2,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-DYN-8D-100
Control4,EA-RSP-12D-100,Amplifier,2,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-RSP-12D-100
Triad,AMS-16,Unknown,2,2026-02-26T07:04:53,2026-02-26T07:04:53,AMS-16
Araknis,AN-220-SW-R-24-POE,Networking,1,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-220-SW-R-24-POE
Araknis,AN-320-SW-R-16,Networking,1,2026-02-26T07:04:53,2026-02-26T07:04:53,AN-320-SW-R-16
Control4,CA-01,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,CA-01
Control4,CA-03,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,CA-03
Control4,EA-DYN-2D-200,Amplifier,1,2026-02-26T07:04:53,2026-02-26T07:04:53,EA-DYN-2D-200
T3FD,T3FD,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,T3FD
T4A3386,T4A3386,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,T4A3386
T4A3786,T4A3786,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,T4A3786
TS,TS-23FG-HC,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-23FG-HC
TS,TS-PDX-IC84-DTS,Unknown,1,2026-02-26T07:04:53,2026-02-26T07:04:53,TS-PDX-IC84-DTS
